S1-Structure,S1-Delivery,S1-VisualAids,,,
"organise, powerful, great impact, brings out the desired message through the presentation, ","understandable, entertaining, clear, precise, straight-to-the-point, powerful, audience impact, eye contact, body language, appearance, ","photos, tables, memes, background music, colours, decorative powerpoints",,,
Time / Length / Key Points /  / ,Clear Voice / Speed / Body Language / Tone / ,Powerpoint / Diagrams / Pictures /  / ,,,
format / introduction / content / body / supporting / cohesion / conclusion / point / problem / content / ,clear / loud / confident / style / open / body position / posture / tone / interest / variation / relaxed / energy / passion / clarity  / tone / voice / ,powerpoint / posters / models / colours / graphs / charts / tables / visual information / communication / visualization / props / computer mo / ,,,
stable / clear / concise / confident / ,"Clear / confident / no mumbling / straight to the point, no sidetracking / hand gesture / eye contact / understandable words used",diagrams / tables / pictures / hand gestures / related props / ,,,
layout / people / speaking  / ideas / points,tone / pace / body language  / eye contact  / points / moving / ,photos / figures / body language  / pointing / ,,,
order of things to say,how the speech comes across to the audience,"pictures, posters",,,
"order, clear, calm, relaxed, paragraphs, key points, summaries, introduction, conclusion, body paragraphs, summarise","Dictation, clarity, speed, focus, attention, captivate, audience, confidence ","powerpoints, images, gestures, props, expression, detail, explain",,,
clarity  / presentation / paced / outline / simplicity,clarity / pitch / speed / enunciation / engagement / knowledge / key concepts / confidence / presence  / ,power point / diagram / video / tactile forms / hands up / relate-ability  / clarity / ,,,
bullet / basic points / paragraphs / ,clarity / entertaining / powerpoint / engaging / ,powerpoint / examples / colour / basic / uncluttered / ,,,
introduction / conclusion / relavent / interesting / middle / ,clear / confident / interesting / animated / fluent / attitude / stature / appearance / body language / present / ,informative / interesting / nessesary / helpful / understanding / visualization  / insightful / ,,,
Planning / Practice / ,Practice / Clear / Grammar / Hand motions / Posture / Que Cards / ,Pictures / Helps to give more information / More interesting than talking / Reinforces points / ,,,
Timing / Topics / Number of slides / Order / Titles / Key points / ,Body language / speaking / movement / enthusiasm / eye contact / tone of voice / engaging the audience / being interesting / 'the washing machine' / ,cue cards / notes in slideshow / memorising keywords / don't have the whole speech written down / powerpoint slides / ,,,
